,carat,cut,color,clarity,depth,table,x,y,z,price
count,53940.0,53940,53940,53940,53940.0,53940.0,53940.0,53940.0,53940.0,53940.0
unique,,5,7,8,,,,,,
top,,Ideal,G,SI1,,,,,,
freq,,21551,11292,13065,,,,,,
mean,0.7979397478680014,,,,61.749404894327036,57.45718390804598,5.731157211716722,5.734525954764553,3.5387337782721544,3932.799721913237
std,0.4740112444054184,,,,1.432621318833661,2.2344905628213225,1.1217607467924928,1.1421346741235552,0.7056988469499941,3989.439738146379
min,0.2,,,,43.0,43.0,0.0,0.0,0.0,326.0
25%,0.4,,,,61.0,56.0,4.71,4.72,2.91,950.0
50%,0.7,,,,61.8,57.0,5.7,5.71,3.53,2401.0
75%,1.04,,,,62.5,59.0,6.54,6.54,4.04,5324.25
max,5.01,,,,79.0,95.0,10.74,58.9,31.8,18823.0
